experiment_id,experiment_name,test_accuracy,test_f1_normal,test_f1_npt,test_f1_od,test_roc_auc,best_val_loss,best_val_acc,max_series_length,include_derivatives,add_noise,noise_std,use_masking,mask_ratio,channels,dilations,strides,kernel_size,dropout,use_depthwise_separable,use_residual,activation,use_max_pooling,batch_size,learning_rate,weight_decay,early_stopping_patience
3,v2_003_low_dropout,0.8901408450704226,0.9483568075117371,0.8053691275167785,0.8,0.9650637907841553,0.6986396908760071,0.0,10000,True,True,0.1,False,0.1,"[64, 128, 256, 512, 512]","[1, 2, 4, 8, 16]","[2, 2, 2, 2, 1]",7,0.2,False,True,swish,True,64,0.0005,0.005,50
6,v2_006_high_wd,0.8845070422535212,0.9403341288782816,0.7875,0.8244274809160306,0.9510732880798362,0.6297573447227478,0.0,10000,True,True,0.1,False,0.1,"[64, 128, 256, 512, 512]","[1, 2, 4, 8, 16]","[2, 2, 2, 2, 1]",7,0.35,False,True,swish,True,64,0.0005,0.01,50
12,v2_012_elu,0.8816901408450705,0.9427917620137299,0.7808219178082192,0.7874015748031497,0.9544982508976702,0.8329207301139832,0.0,10000,True,True,0.1,False,0.1,"[64, 128, 256, 512, 512]","[1, 2, 4, 8, 16]","[2, 2, 2, 2, 1]",7,0.35,False,True,elu,True,64,0.0005,0.005,50
10,v2_010_wider,0.8591549295774648,0.9456264775413712,0.7380952380952381,0.7226890756302521,0.962467371084208,0.5848497748374939,0.0,10000,True,True,0.1,False,0.1,"[128, 256, 512, 512, 512]","[1, 2, 4, 8, 16]","[2, 2, 2, 2, 1]",7,0.4,False,True,swish,True,64,0.0005,0.005,50
8,v2_008_large_kernel,0.8366197183098592,0.9315068493150684,0.7283950617283951,0.6181818181818182,0.9317710173561476,0.8929202556610107,0.0,10000,True,True,0.1,False,0.1,"[64, 128, 256, 512]","[1, 2, 4, 8]","[2, 2, 2, 2]",9,0.35,False,True,swish,True,64,0.0005,0.005,50
2,v2_002_no_aug,0.819718309859155,0.8985507246376812,0.6976744186046512,0.7258064516129032,0.9291223697947495,0.8684329986572266,0.0,10000,True,False,0.1,False,0.1,"[64, 128, 256, 512, 512]","[1, 2, 4, 8, 16]","[2, 2, 2, 2, 1]",7,0.35,False,True,swish,True,64,0.0005,0.005,50
5,v2_005_low_wd,0.7605633802816901,0.8595744680851064,0.49206349206349204,0.6491228070175439,0.8900461391019512,0.9153948426246643,0.0,10000,True,True,0.1,False,0.1,"[64, 128, 256, 512, 512]","[1, 2, 4, 8, 16]","[2, 2, 2, 2, 1]",7,0.35,False,True,swish,True,64,0.0005,0.001,50
11,v2_011_depthwise,0.7323943661971831,0.8247011952191236,0.25882352941176473,0.6829268292682927,0.7861763531013644,1.1047182083129883,0.0,10000,True,True,0.1,False,0.1,"[64, 128, 256, 512, 512]","[1, 2, 4, 8, 16]","[2, 2, 2, 2, 1]",7,0.35,True,True,swish,True,64,0.0005,0.005,50
7,v2_007_deeper,0.7267605633802817,0.801762114537445,0.5109489051094891,0.6890756302521008,0.8553266711460027,0.7744431495666504,0.0,10000,True,True,0.1,False,0.1,"[32, 64, 128, 256, 512, 512]","[1, 2, 4, 8, 16, 32]","[2, 2, 2, 2, 2, 1]",7,0.4,False,True,swish,True,64,0.0005,0.005,50
1,v2_001_baseline,0.7267605633802817,0.8160377358490566,0.5875706214689266,0.6055045871559633,0.881919234482698,1.0095388889312744,0.0,10000,True,True,0.1,False,0.1,"[64, 128, 256, 512, 512]","[1, 2, 4, 8, 16]","[2, 2, 2, 2, 1]",7,0.35,False,True,swish,True,64,0.0005,0.005,50
4,v2_004_high_dropout,0.704225352112676,0.8223552894211577,0.2376237623762376,0.5925925925925926,0.8595784676538263,0.9448834657669067,0.0,10000,True,True,0.1,False,0.1,"[64, 128, 256, 512, 512]","[1, 2, 4, 8, 16]","[2, 2, 2, 2, 1]",7,0.5,False,True,swish,True,64,0.0005,0.005,50
9,v2_009_noise_mask,0.676056338028169,0.783427495291902,0.0,0.5714285714285714,0.6103098607231427,0.8424801230430603,0.0,10000,True,True,0.1,True,0.1,"[64, 128, 256, 512, 512]","[1, 2, 4, 8, 16]","[2, 2, 2, 2, 1]",7,0.35,False,True,swish,True,64,0.0005,0.005,50
